( micro ) habitats | RESOURCE
13C | RESOURCE
14C depleted organic matter | RESOURCE
14C | RESOURCE
2E , 4E / Z - decadienal ( DECA ) | RESOURCE
2E , 4E / Z - heptadienal ( HEPTA ) | RESOURCE
2E , 4E / Z - octadienal ( OCTA ) | RESOURCE
A . alba | RESOURCE
A . aurita | ACTOR
AMO | PROCESS
Aboriginal | QUALITY
Accra | LOCATION
Acidification | PROCESS
Adaptation | PROCESS
Adelaide | LOCATION
Adults | ACTOR
Agencies | ACTOR
Agricultural drainage ditches | RESOURCE
Akaray Basin | LOCATION
Akaray | LOCATION
Akwapim fault zone | LOCATION
Alabama | LOCATION
Algal polysaccharides | RESOURCE
Amalfi Coast | LOCATION
Andalusia | LOCATION
Andes | LOCATION
Anguilla anguilla | ACTOR
Anhui | LOCATION
Anisotropy | QUALITY
Anostraca | RESOURCE
Apalachicola Bay | LOCATION
Apulia | LOCATION
Apulian | LOCATION
Aquitanian | LOCATION
Arabian Peninsula | LOCATION
Arctic | LOCATION
Argentina | LOCATION
Argentinian shelf - break | LOCATION
Aristichthys nobilis | ACTOR
Artemia | RESOURCE
Asellus aquaticus | ACTOR
Asi | LOCATION
Asian silver carp | ACTOR
Atlantic Meridional Overturning Circulation ( AMOC ) | PROCESS
Atlantic Multidecadal Oscillation ( AMO ) | PROCESS
Atlantic Ocean | LOCATION
Atlantic overturning circulation | PROCESS
Atlantic | LOCATION
Austos Pond | LOCATION
Australia | LOCATION
AuthorsClimate change | PROCESS
Avicennia alba | RESOURCE
Azov Sea | LOCATION
BCF value | QUALITY
BJBR | LOCATION
Bacterial viability | QUALITY
Bacteroidetes | ACTOR
Bacteroidetes | RESOURCE
Baengnyeongdo Island | LOCATION
Baengnyeongdo | LOCATION
Baffin Bay - Davis Strait | LOCATION
Baie - du - Febvre | LOCATION
Baijuhuajian | LOCATION
Baltic Sea | LOCATION
Bangladesh | LOCATION
Barra do Furado | LOCATION
Barra | LOCATION
Bay of Biscay | LOCATION
Bay of Fundy | LOCATION
Beach nourishment | PROCESS
Bearded seals | ACTOR
Beaufort Sea | LOCATION
Bee Jay Bakau Resort ( BJBR ) | LOCATION
Belyounech 2 | LOCATION
Bhavnagar district | LOCATION
Bilbao estuary | RESOURCE
Biomass | QUALITY
Biotope matrices | RESOURCE
Birds | ACTOR
Black Sea Convention | RESOURCE
Black Sea | LOCATION
Blanes Bay | LOCATION
Bolivian High Andes | LOCATION
Brazil | LOCATION
Brazilian population | ACTOR
Brazilian | LOCATION
Breeding sites | LOCATION
Bryopsidophyceae | RESOURCE
Bugach freshwater reservoir | LOCATION
Built - up area change detection ( BCD ) | PROCESS
C . chromis | ACTOR
C . teedii | RESOURCE
C16 acid | RESOURCE
CCD | QUALITY
CEC | QUALITY
CFC | LOCATION
CFRB | LOCATION
CO2 sink | RESOURCE
CO2 | RESOURCE
COVID - 19 | ACTOR
CRZ | RESOURCE
CUPs | RESOURCE
CVI | RESOURCE
Campania | LOCATION
Campi Flegrei caldera | LOCATION
Canada | LOCATION
Canadian | LOCATION
Cap - Ferret Canyon ( CFC ) | LOCATION
Cape Fear River Basin ( CFRB ) | LOCATION
Cape Fear River | LOCATION
Cape Town | LOCATION
Cape Verde Republic | LOCATION
Carassius carassius | ACTOR
Carnegie Ridge | LOCATION
Cd | RESOURCE
Chaetomorpha | RESOURCE
Chile | LOCATION
Chilika lagoon | LOCATION
Chilika | LOCATION
China | LOCATION
Chlorophyceae | RESOURCE
Chlorophyll - a | RESOURCE
Chlorophyta | RESOURCE
Chondracanthus teedii ( Mertens ex Roth ) Fredericq | RESOURCE
Chromis chromis | ACTOR
Citizen science | RESOURCE
Climate - model predictions | PROCESS
Climate change | PROCESS
Clypeaster | RESOURCE
Coastal Regulation Zone ( CRZ ) | RESOURCE
Coastal Vulnerability Index ( CVI ) | RESOURCE
Coastal aquatic environments | RESOURCE
Coastal areas | LOCATION
Coastal areas | RESOURCE
Coastal change | PROCESS
Coastal flooding | PROCESS
Coastal groundwater aquifers | RESOURCE
Coastal habitats | RESOURCE
Coastal tourism | PROCESS
Coastal zone | LOCATION
Coastlines | RESOURCE
Cochin Islands | LOCATION
Cochin | LOCATION
Construction | PROCESS
Constructions | RESOURCE
Cr | RESOURCE
Crustacea | RESOURCE
Crustal instability | QUALITY
Ctenopharyngodon idella | ACTOR
Cyprinus carpio | ACTOR
DEM | QUALITY
DGR | QUALITY
DIC | RESOURCE
DIN | RESOURCE
DIP | RESOURCE
DMSP / OLS | QUALITY
DNF | PROCESS
DSi | RESOURCE
Dalya | LOCATION
Damming | PROCESS
Dasycladophyceae | RESOURCE
Dead Sea | LOCATION
Deep River | LOCATION
Deepwater Horizon | PROCESS
Density | QUALITY
Department of Irrigation and Drainage ( DID ) | ACTOR
Depleted radiocarbon | RESOURCE
Desertification | PROCESS
Dicentrarchus labrax | RESOURCE
Diploneis aokiensis | ACTOR
Diploneis conopeospongiosa | ACTOR
Diploneis implicatus | ACTOR
Diploneis lacustris | ACTOR
Diploneis pumicosus | ACTOR
Diploneis | ACTOR
Djilor district | LOCATION
Dutch | LOCATION
E - W | LOCATION
E . canadensis | ACTOR
EC Directives | RESOURCE
EC | QUALITY
EU Landing Obligation | RESOURCE
Echinocyamus | RESOURCE
Echinolampas | RESOURCE
Ecosystem services ( ESs ) | RESOURCE
Ecotourism | PROCESS
Ecuador | LOCATION
Egypt | LOCATION
Egyptian | LOCATION
El Hwad | LOCATION
Elevated O3 exposure | PROCESS
Elodea canadensis | ACTOR
English Channel | LOCATION
Epinephelus marginatus | ACTOR
Erignathus barbatus | ACTOR
Ernakulam district | LOCATION
Erosion | PROCESS
Erythrean | LOCATION
Escherichia coli | ACTOR
Estuary | RESOURCE
Eucalyptus | RESOURCE
Eucheuma cotonii | RESOURCE
Europe | LOCATION
European eel | ACTOR
European perch | ACTOR
Eutrophication | PROCESS
Evacuation plans | RESOURCE
Evaporation duct | PROCESS
Excessive primary productivity | PROCESS
FA composition | QUALITY
FAs | RESOURCE
Farol de So Tom | LOCATION
Fielder Ridge | LOCATION
Fisheries Act | RESOURCE
Fisheries Protection Program | RESOURCE
Fishing effort | PROCESS
Fishing | PROCESS
Fissurella clench | RESOURCE
Flamingolepis liguloides | ACTOR
Flocculation | PROCESS
Floodwaters | RESOURCE
Florida | LOCATION
Food habits | QUALITY
Franca | LOCATION
French | LOCATION
Fujian | LOCATION
Fukuoka | LOCATION
Funtanazza | LOCATION
G . fasciatus | ACTOR
G . ghoerensis | ACTOR
G . lacustris | ACTOR
GIZCAM | RESOURCE
GPP | PROCESS
GW recharge | PROCESS
Gambusia affinis | ACTOR
Gammaproteobacteria | ACTOR
Gammarus lacustris Sars | ACTOR
Gammarus | ACTOR
Ganga River basin | LOCATION
Garra rufa | ACTOR
Genocidaris | RESOURCE
Ghana | LOCATION
Ghandouri | LOCATION
Gimolskoe | LOCATION
Gironde Estuary | LOCATION
Global Spatial Autocorrelation | QUALITY
Gmelinoides fasciatus | ACTOR
Gracilaria coronopifolia | RESOURCE
Gracilaria domingensis ( Ktzing ) Sonder ex Dickie | RESOURCE
Grateloupia | RESOURCE
Groups | ACTOR
Guangdong | LOCATION
Guangxi | LOCATION
Guangzhou | LOCATION
Guizhou | LOCATION
Gujarat | LOCATION
Gujarats | LOCATION
Gulf of Mexico | LOCATION
Gulf of Naples | LOCATION
Gulf | LOCATION
H . menziesi | ACTOR
H2O2 | RESOURCE
HABs | PROCESS
HEU | PROCESS
HNEU | PROCESS
Hainan Island | LOCATION
Hainan | LOCATION
Harmful Algal Blooms ( HABs ) | PROCESS
Hartselle Sandstone | LOCATION
Hathab | LOCATION
Hemigmmmocapoeta nana | ACTOR
Hemiptera | ACTOR
Himalayas | LOCATION
Hokkaido | LOCATION
Hong Kong | LOCATION
Hongdo Island | LOCATION
Hongdo | LOCATION
Horonobe | LOCATION
Hudson Complex | LOCATION
Human disturbance | PROCESS
Human health | QUALITY
Hurricane Florence | PROCESS
Hurricanes | PROCESS
Hypnea musciformis ( Wulfen in jacqu . ) | RESOURCE
Hypophthalmichthys molitrix | ACTOR
Hypsoclypus | RESOURCE
Hyridella menziesi ( Gray ) | ACTOR
Hyridella | ACTOR
ICZM | PROCESS
IMTA | PROCESS
IRD | RESOURCE
IUCN | ACTOR
Iberian Peninsula | LOCATION
Ibuprofen | RESOURCE
Ice - sheet | RESOURCE
Ice plant | RESOURCE
Ictiobus bubalus | RESOURCE
Ile de Camargue | LOCATION
Incubations | PROCESS
India | ACTOR
India | LOCATION
Indian Wildlife Protection Act | RESOURCE
Indian waters | LOCATION
Indian | LOCATION
Individuals | ACTOR
Indo - Pacific | LOCATION
Indonesia | LOCATION
Inferred ice divides | PROCESS
Integrated Coastal Zone Management ( ICZM ) | PROCESS
Integrated Coastal Zone Management ( ICZM ) | RESOURCE
Integrated Coastal Zone Management | PROCESS
Invasions | PROCESS
Invasive species | ACTOR
Irrawaddy Dolphins ( IRD : Oracella brevirostris ) | RESOURCE
Italian waters | LOCATION
Italian | LOCATION
Italy | LOCATION
Its | ACTOR
Jakarta | LOCATION
Japan | LOCATION
Jeju Island | LOCATION
Jiangsu | LOCATION
Jiaozhou Bay | LOCATION
K . alvarezii | RESOURCE
Kara Sea | LOCATION
Kerala | LOCATION
Korean Peninsula | LOCATION
Kuril Islands | LOCATION
LUCC detection ( LUCCD ) | PROCESS
LUCC | PROCESS
Lac Sainte - Pierre | LOCATION
Laccadive Sea | LOCATION
Ladoga Lake | LOCATION
Lake Baikal | LOCATION
Lake Eber | LOCATION
Lake Gimolskoe | LOCATION
Lake Karamk | LOCATION
Lake Oahe | LOCATION
Lake Pleshcheyevo | LOCATION
Lake Sainte - Pierre | LOCATION
Lake Sainte Pierre | LOCATION
Lake Shira | LOCATION
Lake Sukkozero | LOCATION
Lake Taupo | LOCATION
Lamouroux | RESOURCE
Landes Plateau | LOCATION
Landscape connectivity | QUALITY
Levant Basin | LOCATION
Levant silver carp | ACTOR
Levantine | LOCATION
LiDAR | RESOURCE
Libya | LOCATION
Libyan | LOCATION
Lido Gandoli | LOCATION
Lido Silvana | LOCATION
Lingdingyang | LOCATION
Littoral Fault Zone | RESOURCE
Littoral environments | RESOURCE
Livorno | LOCATION
Liza ramada | ACTOR
Loess Plateau | LOCATION
Loligo | RESOURCE
Loriciferans | ACTOR
Louisana | LOCATION
Louisiana | LOCATION
Lovenia | RESOURCE
LtdClimate changes | PROCESS
LtdSeabirds | ACTOR
LtdShrimp farming | PROCESS
Lubec | LOCATION
Lutrogale perspicillata | ACTOR
M . crystallinum | RESOURCE
MDiq | LOCATION
MPA | RESOURCE
MPAs | RESOURCE
MPs | RESOURCE
Macau | LOCATION
Madeira Island | LOCATION
Madeira | LOCATION
Magnitude | QUALITY
Maine | LOCATION
Malaysia | LOCATION
Management efforts | RESOURCE
Management | PROCESS
Mangrove Forest | RESOURCE
Mangrove forests | RESOURCE
Mangroves | RESOURCE
Mar Menor | LOCATION
Maresdar | LOCATION
Marine Nature Conservation Review ( MNCR ) | RESOURCE
Marine Protected Areas ( MPAs ) | RESOURCE
Marine macroalgae | RESOURCE
Marine sand mining | PROCESS
Martil | LOCATION
Mediterranean RSL | QUALITY
Mediterranean Sea coast | LOCATION
Mediterranean Sea | LOCATION
Mediterranean basin | LOCATION
Mediterranean relative sea - level ( RSL ) | QUALITY
Mediterranean rising rates | QUALITY
Mediterranean rocky shores | LOCATION
Mediterranean waters | LOCATION
Mediterranean | LOCATION
Mega - Float | RESOURCE
Megafloat | RESOURCE
Meloria shoals | LOCATION
Mesembryanthemum crystallinum | RESOURCE
Mexico | LOCATION
Microphytobenthos | RESOURCE
Microplastics ( MPs ) | RESOURCE
Minister of Fisheries and Oceans Canada | ACTOR
Minori | LOCATION
Mollusks | RESOURCE
Mondego estuary | LOCATION
Monitoring program | RESOURCE
Monitoring | PROCESS
Monoporeia affinis | ACTOR
Moroccan authorities | ACTOR
Moroccan | LOCATION
Mortality records | RESOURCE
Motooka | LOCATION
Mrisat | LOCATION
Muezersky district | LOCATION
Mugil cephalus | ACTOR
Mullus surmuletus | RESOURCE
Muscat | LOCATION
Mute Swan | ACTOR
Mute Swans Cygnus olor | ACTOR
Myanmar | LOCATION
Mylopharyngodon piceus | ACTOR
Mysis relicta Lovn | ACTOR
N - S | LOCATION
N - limitation | QUALITY
N - value | QUALITY
N : P | QUALITY
NBI | RESOURCE
NC | LOCATION
NDVI | QUALITY
NE | LOCATION
NH4 + - N | RESOURCE
NO2 - N | RESOURCE
NO3 - N | RESOURCE
NOx | RESOURCE
NSAIDs | RESOURCE
NW Mediterranean Sea | LOCATION
NWSCS | LOCATION
Nanaloricus khaitatus | ACTOR
Nanaloricus | ACTOR
Nansha | LOCATION
Natural and Socioeconomic subsystems | RESOURCE
Netherlands | LOCATION
Neuse River estuary | LOCATION
New Zealand | LOCATION
Ningxia | LOCATION
North - Western region | LOCATION
North America | LOCATION
North Atlantic | LOCATION
Northern Africa | LOCATION
Northern Ionian Sea | LOCATION
Northern Wheatear | ACTOR
Northern Wheatears | ACTOR
O2 | RESOURCE
O3 | RESOURCE
OSA | RESOURCE
OSAs | RESOURCE
OT | QUALITY
Ochrophyta | RESOURCE
Oenanthe oenanthe | ACTOR
Okobojo Bay | LOCATION
Oman | LOCATION
Omani | LOCATION
Oncorhynchus mykiss | ACTOR
Onyx blomei | ACTOR
Onyx cangionensis | ACTOR
Onyx cobbi | ACTOR
Onyx mangrovi | ACTOR
Onyx orientalis | ACTOR
Onyx paradimorphus | ACTOR
Onyx | ACTOR
Oryza sativa | RESOURCE
Osmerus mordax | RESOURCE
Otter Working Group | ACTOR
Oxidation - reduction potentials | QUALITY
P . quadrispinosa | ACTOR
PAH | RESOURCE
PAHs | RESOURCE
PF | QUALITY
PGDP | QUALITY
PO43 | RESOURCE
PUA | RESOURCE
PUAs | RESOURCE
Pacific Ocean | LOCATION
Pacific | LOCATION
Pallaseopsis quadrispinosa | ACTOR
Panyu | LOCATION
Parasitism | PROCESS
Parnaiba Delta River | LOCATION
Particle fluxes | PROCESS
Pb | RESOURCE
Pearl River Estuary | LOCATION
Pearl River Plume | PROCESS
Pearl River | LOCATION
Peninsular Malaysia | LOCATION
Perca fluviatilis | ACTOR
Perna perna | RESOURCE
Pesticides fluxes | PROCESS
PhACs | RESOURCE
Phaeophyceae | RESOURCE
Pharmaceuticals ( PhACs ) | RESOURCE
Phoenicopterus ruber | RESOURCE
Photoinhibition | PROCESS
Pier boulders | LOCATION
Pier | LOCATION
Plaice | RESOURCE
Planners | ACTOR
Plate | RESOURCE
PlattTrace fossil | RESOURCE
Polish Baltic coast | LOCATION
Polish | LOCATION
Pollutants | RESOURCE
Polyunsaturated aldehydes ( PUAs ) | RESOURCE
Pond farming | PROCESS
Port Dickson | LOCATION
Portugal | LOCATION
Pozzuoli Bay | LOCATION
Prasinophyceae | RESOURCE
Preservation | PROCESS
Prionocidaris | RESOURCE
Psammechinus | RESOURCE
Pulau Langkawi | LOCATION
Qishon River basin | LOCATION
Quebec | LOCATION
RECC | QUALITY
REE | RESOURCE
ROS levels | QUALITY
ROS | RESOURCE
RSLRR | QUALITY
Radioactive waste repository | RESOURCE
Rainfall | PROCESS
Rare earth elements ( REE ) | RESOURCE
Re - infiltration | PROCESS
Red algae | RESOURCE
Regency Beach | LOCATION
Republic of Karelia | LOCATION
Respiration rates | QUALITY
Rhizopora mucronata | RESOURCE
Rhodobacteraceae | ACTOR
Rhodophyta | RESOURCE
Rhone Delta | LOCATION
Rio de Janeiro | LOCATION
River basin | RESOURCE
River plume waters | RESOURCE
Rivers | RESOURCE
Romania | ACTOR
Romanian | LOCATION
Rotterdam | LOCATION
Rutilus rutilus | ACTOR
S . Vito | LOCATION
S . spallanzanii | ACTOR
SAL | QUALITY
SAR | LOCATION
SAR11 | ACTOR
SCS | LOCATION
SCS | RESOURCE
SE Sulawesi | LOCATION
SE | LOCATION
SGD | PROCESS
SLR | PROCESS
SOD activity | PROCESS
SPM | RESOURCE
SSC | RESOURCE
SW | RESOURCE
Sabella spallanzanii | ACTOR
Sakhalin | LOCATION
Salalah | LOCATION
Salento peninsula | LOCATION
Salt marshes | RESOURCE
San Jorge Gulf | LOCATION
Sandy shores | LOCATION
Santa Cruz | LOCATION
Santiago Island | LOCATION
Sao Carlos | LOCATION
Sao Paulo | LOCATION
Sao Pedro | LOCATION
Sardinia | LOCATION
Sardocidaris | RESOURCE
Sargassum polycystum | RESOURCE
Schizaster | RESOURCE
Scomber scombrus | RESOURCE
Sea - level rise | PROCESS
Sea level fluctuations | PROCESS
Sea of Okhotsk | LOCATION
Seabirds | ACTOR
Seawater intrusion | PROCESS
Seaweeds | RESOURCE
Sediment focusing | PROCESS
Semaphore Park | LOCATION
Senegal | LOCATION
Sepetiba Bay | LOCATION
Sepia officinalis | RESOURCE
Seston | RESOURCE
Sfiha | LOCATION
Shandong Peninsula | LOCATION
Shanghai | LOCATION
Sharks | ACTOR
Shenzhen | LOCATION
Shira Lake | LOCATION
Shoreline works | PROCESS
Siberia | LOCATION
Sidi Amer O Moussa | LOCATION
Sidi Driss | LOCATION
Singapore | ACTOR
Singapore | LOCATION
Smallmouth buffalo | RESOURCE
Smooth - coated otters | ACTOR
So Domingos | LOCATION
So Miguel | LOCATION
Socio - economic subsystem ( SEC ) | RESOURCE
Sodom | LOCATION
Soil salinity | QUALITY
Soil | RESOURCE
Souani | LOCATION
South - Western Europe | LOCATION
South Africa | LOCATION
South American | LOCATION
South China Sea ( SCS ) | LOCATION
South China | LOCATION
South Dakota | LOCATION
South Korea | LOCATION
Southchina | LOCATION
Southern Ghana | LOCATION
Southern Italy | LOCATION
Soviet Union | LOCATION
Spain | LOCATION
Spatangus | RESOURCE
St . Cuthbert | LOCATION
Stable isotopes ( d15N ) | RESOURCE
Stizostedion vitreum | ACTOR
Structured habitats | RESOURCE
Stylocidaris | RESOURCE
Submarine groundwater discharge ( SGD ) | PROCESS
Submarine groundwater discharge | PROCESS
Submerged breakwaters | RESOURCE
Subtidal species | RESOURCE
Suez Canal | LOCATION
Sukkozero | LOCATION
Surabaya | LOCATION
Surge | PROCESS
Sustainable Development Goals ( SDGs ) | RESOURCE
Suzhou | LOCATION
Sydney | LOCATION
Synechococcus | RESOURCE
T . latifolia | RESOURCE
T . laxmannii | RESOURCE
TA | QUALITY
TA | RESOURCE
TC | PROCESS
TCs | PROCESS
TD | PROCESS
TI | PROCESS
TN | QUALITY
TP | QUALITY
Tamarix | RESOURCE
Tampa bay | LOCATION
Tangier Malabata | LOCATION
Tangier Municipal | LOCATION
Tanjung Piai | LOCATION
Taourirt | LOCATION
Tapuaeharuru Bay | LOCATION
Tarrafal | LOCATION
Temperature | QUALITY
Terrebonne Bay | LOCATION
Terrebonne | LOCATION
Tetraclita stalactifera | RESOURCE
Tokyo Bay | LOCATION
Trachypatagus | RESOURCE
Transport | PROCESS
Tretocidaris | RESOURCE
Trichocorixa verticalis verticalis ( Tvv ) | ACTOR
Tripneustes | RESOURCE
Trkiye | LOCATION
Trophic diatom index for lakes ( TDIL ) | QUALITY
Trophic levels | QUALITY
Tropical cyclones ( TCs ) | PROCESS
Tsunami hazard | PROCESS
Tuscany | LOCATION
Tvv | ACTOR
Tylocidaris | RESOURCE
U . S . | LOCATION
USA | LOCATION
UV - B | RESOURCE
UV radiation | PROCESS
Ulva fasciata Delile | RESOURCE
Ulvophyceae | RESOURCE
United Nations ( UN ) | ACTOR
United States | LOCATION
Unmanned Aerial Vehicle ( UAV ) | RESOURCE
Uruguay | LOCATION
VLFS design | QUALITY
VLFS | RESOURCE
Valaam Island | LOCATION
Valencia | LOCATION
Vancouver | LOCATION
Vegetation cover | QUALITY
Vehicle collisions | PROCESS
Very Large Floating Structures ( VLFS ) | RESOURCE
Vietnam | LOCATION
Walleyes | ACTOR
West Africa Craton | LOCATION
Wetland | RESOURCE
Whooper Swan | ACTOR
Whooper Swans C . cygnus | ACTOR
Wildlife Reserves Singapore | ACTOR
Wonorejo Estuary | LOCATION
Wonorejo River | LOCATION
Wonorejo | LOCATION
Xiphophorus helleii | ACTOR
Yamachiche | LOCATION
Yangtze River Economic Belt ( YREB ) | LOCATION
Yangtze River | LOCATION
Yellow River Delta | LOCATION
Yellow River | LOCATION
Yellow Sea | LOCATION
Yunnan | LOCATION
Zhejiang | LOCATION
Zhuhai | LOCATION
abrasion | PROCESS
abscisic acid | RESOURCE
abundance | QUALITY
academic researchers | ACTOR
acceptable daily intake | QUALITY
accessibility | QUALITY
accommodate | PROCESS
accommodation space | QUALITY
accretion | PROCESS
accumulation | PROCESS
accumulator | QUALITY
acidification | PROCESS
active faults | RESOURCE
active margin | RESOURCE
activities | PROCESS
adaptation measures | RESOURCE
adaptation responses | RESOURCE
adaptation strategies | RESOURCE
adaptation strategy | RESOURCE
adaptation | PROCESS
additive compounds | RESOURCE
administrators | ACTOR
adult | ACTOR
adverse effects | PROCESS
adverse impacts | PROCESS
afforestation sites | LOCATION
afforestation | PROCESS
afforesting | PROCESS
agar | RESOURCE
age structure | QUALITY
aggregate | PROCESS
aggregation frequency | QUALITY
aggregation product | RESOURCE
aggregation | PROCESS
aggregations | QUALITY
agricultural activity | PROCESS
agricultural drainage | PROCESS
agricultural fields | RESOURCE
agricultural producers | ACTOR
agricultural regions | RESOURCE
agriculture | PROCESS
air | RESOURCE
airport | RESOURCE
airports | RESOURCE
algae | RESOURCE
algal - derived products | RESOURCE
algal blooms | PROCESS
algal growth | PROCESS
algal | RESOURCE
alginate | RESOURCE
alien species | ACTOR
allelopathy | PROCESS
allocation | PROCESS
alteration | PROCESS
alterations | PROCESS
altered | QUALITY
alternative farming | PROCESS
alternative management | PROCESS
amenities | RESOURCE
amino acids | RESOURCE
amphid | RESOURCE
amphidial fovea | RESOURCE
amphipod | ACTOR
amphipods | ACTOR
amplitude | QUALITY
analysis | PROCESS
anatomical acclimation | PROCESS
animal foods | RESOURCE
animals | ACTOR
animals | RESOURCE
annuals | QUALITY
anomalous | QUALITY
anthropisation | PROCESS
anthropogenic activities | PROCESS
anthropogenic activity | ACTOR
anthropogenic pressure | PROCESS
anthropogenic | ACTOR
anthropologic disturbance | PROCESS
antibiotic | RESOURCE
anticipation | PROCESS
antioxidant compounds | RESOURCE
antioxidative enzymes | RESOURCE
applications | PROCESS
approaches | RESOURCE
aquaculture industry | ACTOR
aquaculture production | PROCESS
aquaculture resources | RESOURCE
aquaculture | PROCESS
aquatic - terrestrial ecosystems | RESOURCE
aquatic alien insect | ACTOR
aquatic ecosystems | RESOURCE
aquatic environments | RESOURCE
aquatic organisms | RESOURCE
aquatic systems | RESOURCE
aquatic vegetation | RESOURCE
aquifer | RESOURCE
aquifers | RESOURCE
arable | QUALITY
arag | QUALITY
aragonite saturation state index ( arag ) | QUALITY
armouring | PROCESS
arthropods | RESOURCE
ascorbic acid | RESOURCE
assemblage | RESOURCE
assemblages | RESOURCE
assessment | PROCESS
assessments | PROCESS
assets | RESOURCE
assimilation | PROCESS
asthenospheric mantle | RESOURCE
astronomical tide | PROCESS
atmospheric CO2 | RESOURCE
attenuation | PROCESS
attitudes | QUALITY
attractiveness | QUALITY
autotrophs | ACTOR
auxin | RESOURCE
availability | QUALITY
avian species | ACTOR
bacterial community | ACTOR
bacterial community | RESOURCE
bacterial groups | ACTOR
bacterial phylogenetic groups | ACTOR
bacterial pollution | PROCESS
bacterial production | PROCESS
bacterial species | ACTOR
bacterioplankton | ACTOR
barges | RESOURCE
barriers | RESOURCE
bars | RESOURCE
basin | LOCATION
basin | RESOURCE
basins | RESOURCE
bathymetric profiles | QUALITY
bathymetry | QUALITY
bay | LOCATION
beach nourishment | PROCESS
beach | RESOURCE
beaches | LOCATION
beaches | RESOURCE
bearded seals | ACTOR
bed boundary layer | RESOURCE
behaviour - related problems | QUALITY
behavioural strategies | RESOURCE
belt | RESOURCE
benthic algae | RESOURCE
benthic bacterial | RESOURCE
benthic coastal habitats | RESOURCE
benthic community | RESOURCE
benthic ecosystem | RESOURCE
benthic macroalgae | RESOURCE
benthic | QUALITY
betacyanin | RESOURCE
bighead carp | ACTOR
bimodal magmatism | PROCESS
bioaccumulation levels | QUALITY
bioaccumulation mechanisms | QUALITY
bioactive compounds | RESOURCE
biodegration | PROCESS
biodiversity loss | PROCESS
biodiversity | QUALITY
biodiversity | RESOURCE
biofilm productivity | QUALITY
biofilm | RESOURCE
biofilms | RESOURCE
bioindicator | RESOURCE
biomanipulation | PROCESS
biomass fluctuations | QUALITY
biomass | QUALITY
biomass | RESOURCE
bioproducts | RESOURCE
biorefinery applications | PROCESS
bioremediation | PROCESS
biostimulant | RESOURCE
biota | ACTOR
biota | RESOURCE
biotic communities | RESOURCE
biotic province | RESOURCE
biotopes | RESOURCE
bioturbation | PROCESS
bird | ACTOR
birds | ACTOR
bivalve farming | PROCESS
bivalves | RESOURCE
black - tailed gull eggs | RESOURCE
black - tailed gulls | ACTOR
black carp | ACTOR
bodies | RESOURCE
body condition | QUALITY
body forces | PROCESS
border closures | PROCESS
borehole | RESOURCE
borrow | PROCESS
bottom sediments | RESOURCE
bottom topography | QUALITY
bottom trawlers | RESOURCE
bottom | LOCATION
boulders | RESOURCE
brackish - water ecosystem | RESOURCE
brackish environments | RESOURCE
brackish waters | RESOURCE
break - off | PROCESS
breakdown | PROCESS
breakwater | RESOURCE
breakwaters | RESOURCE
breed | PROCESS
breeding populations | ACTOR
breeding | PROCESS
brown algae | RESOURCE
bryozoan patches | RESOURCE
building | RESOURCE
buildings | RESOURCE
bulk bacterial production | PROCESS
bulk density | QUALITY
caddisflies | ACTOR
cadmium | RESOURCE
cage culture | PROCESS
cage farming | PROCESS
caldera | LOCATION
camarodonts | RESOURCE
canals | RESOURCE
canister | RESOURCE
canyon | RESOURCE
canyons | RESOURCE
capital city | LOCATION
carbamazepine | RESOURCE
carbon ( C ) | RESOURCE
carbon emission | PROCESS
carbon | RESOURCE
carbonate dynamics | PROCESS
carib pointed - venus | RESOURCE
carnivorous species | RESOURCE
carrageenan | RESOURCE
cascading impacts | PROCESS
catastrophic events | PROCESS
catastrophic | QUALITY
catch compositions | QUALITY
catchment loads | PROCESS
cell circulation | PROCESS
cephalic setae | RESOURCE
cetaceans | RESOURCE
change rate | QUALITY
change | PROCESS
characterization | PROCESS
chironomid larvae | ACTOR
chironomids | RESOURCE
chloramphenicol | RESOURCE
chloride | RESOURCE
chlorophyll | RESOURCE
chlorpyrifos - methyl | RESOURCE
chlorpyrifos | RESOURCE
chromium ( Cr ) | RESOURCE
chromium | RESOURCE
chronic hydrocarbon pollution | PROCESS
chronic photoinhibition | PROCESS
cidaroid | RESOURCE
cidaroids | RESOURCE
ciliates | ACTOR
circum - Mediterranean area | LOCATION
circumpolar distribution | QUALITY
cities | LOCATION
city center | LOCATION
city | LOCATION
civil engineering | PROCESS
clam | RESOURCE
class | QUALITY
classes | QUALITY
classification | QUALITY
cleaning | PROCESS
climate change policy | RESOURCE
climate change scenarios | RESOURCE
climate change | PROCESS
climate variability | QUALITY
climate warming | PROCESS
climates | QUALITY
climatic scenario | QUALITY
climatic | PROCESS
clypeasteroids | RESOURCE
coarse sediments | RESOURCE
coarse | QUALITY
coast | LOCATION
coast | RESOURCE
coastal and inland wetland areas | LOCATION
coastal animals | RESOURCE
coastal anthroposcapes | RESOURCE
coastal aquaculture | PROCESS
coastal aquifers | RESOURCE
coastal area | LOCATION
coastal area | RESOURCE
coastal areas | LOCATION
coastal areas | RESOURCE
coastal belt | LOCATION
