( micro ) habitats | RESOURCE
coastal block | RESOURCE
coastal boundary fault | LOCATION
coastal cattail Typha litoralis | RESOURCE
coastal change | PROCESS
coastal changes | PROCESS
coastal characterization | PROCESS
coastal cities | LOCATION
coastal communities | ACTOR
coastal conditions | QUALITY
coastal current | PROCESS
coastal defence structures | RESOURCE
coastal disasters | PROCESS
coastal ecological processes | PROCESS
coastal ecosystem | RESOURCE
coastal ecosystems | RESOURCE
coastal engineering | PROCESS
coastal environments | RESOURCE
coastal erosions | PROCESS
coastal eutrophication | PROCESS
coastal evolution | PROCESS
coastal flooding | PROCESS
coastal floods | PROCESS
coastal food web | QUALITY
coastal forest | RESOURCE
coastal fragmentation | PROCESS
coastal fringes | LOCATION
coastal habitats | RESOURCE
coastal karst aquifers | RESOURCE
coastal lagoons | RESOURCE
coastal land subsidence | PROCESS
coastal landscapes | RESOURCE
coastal management | PROCESS
coastal marine ecosystems | RESOURCE
coastal marshes | RESOURCE
coastal observing systems | RESOURCE
coastal peatland | LOCATION
coastal peatlands | LOCATION
coastal planning | PROCESS
coastal plume water | RESOURCE
coastal plume | PROCESS
coastal population | ACTOR
coastal processes | PROCESS
coastal protective works | PROCESS
coastal region | LOCATION
coastal regions | LOCATION
coastal research | PROCESS
coastal resilience | PROCESS
coastal resilience | QUALITY
coastal resource use conflicts | PROCESS
coastal resources | RESOURCE
coastal shark | ACTOR
coastal sites | LOCATION
coastal societies | ACTOR
coastal soil | RESOURCE
coastal structures | RESOURCE
coastal studies | RESOURCE
coastal subsidence | PROCESS
coastal topsoil | RESOURCE
coastal upwelling | PROCESS
coastal use | PROCESS
coastal vulnerability assessment | PROCESS
coastal vulnerability | QUALITY
coastal waters | LOCATION
coastal wetlands | RESOURCE
coastal zone | LOCATION
coastal zones | LOCATION
coastal | QUALITY
coastline | LOCATION
coastline | RESOURCE
coastlines | LOCATION
coasts | LOCATION
coasts | RESOURCE
cohesive sediment | RESOURCE
cold spots | QUALITY
cold vortex | PROCESS
cold water | RESOURCE
collaboration | PROCESS
combined effects | PROCESS
commercial finishing | PROCESS
commercial values | QUALITY
commercial | QUALITY
common carp | ACTOR
common garra | ACTOR
communities | ACTOR
community assemblage | RESOURCE
community based field projects | RESOURCE
community composition | QUALITY
community structure | QUALITY
community | ACTOR
competition | PROCESS
composition | QUALITY
compound flood | PROCESS
compounds | RESOURCE
concentration | QUALITY
concentrations | QUALITY
configuration | QUALITY
conflict | PROCESS
conflicts | PROCESS
connectivity suitability | QUALITY
conopeum | QUALITY
conservation strategies | RESOURCE
conservation strategy | RESOURCE
conservation | PROCESS
consortia managing local | RESOURCE
constructed wetlands | RESOURCE
construction aggregate | RESOURCE
construction | PROCESS
constructional morphology | QUALITY
consumers | ACTOR
consumption | PROCESS
contaminant discharges | PROCESS
contaminant | RESOURCE
contaminants | RESOURCE
contaminated coastal areas | LOCATION
contaminated materials | RESOURCE
contamination | PROCESS
content | QUALITY
continental areas | LOCATION
continental lithosphere | RESOURCE
continental margin | LOCATION
continental plate | RESOURCE
continental | LOCATION
control | PROCESS
copepods | ACTOR
copper | RESOURCE
coral reefs | RESOURCE
corals | ACTOR
corixid | ACTOR
corridors | LOCATION
corrosion | PROCESS
cosmetics | ACTOR
cosmopolitan plant species | RESOURCE
cosmopolitan species | RESOURCE
cost - effective | QUALITY
cost | QUALITY
costs | QUALITY
countries | ACTOR
countries | LOCATION
country | ACTOR
country | LOCATION
coupling coordination degree ( CCD ) | QUALITY
crab | RESOURCE
crabs | RESOURCE
creation | PROCESS
crop | RESOURCE
croplands | RESOURCE
crucian carp | ACTOR
crude oil | RESOURCE
crustaceans | ACTOR
culture model | RESOURCE
culture models | RESOURCE
cultured fish | RESOURCE
current - use pesticides ( CUPs ) | RESOURCE
current - use pesticides | RESOURCE
cuttlefish | RESOURCE
cyanobacteria | RESOURCE
cycling of nutrients | PROCESS
cyclones | PROCESS
cytokinins | RESOURCE
daily exposure | QUALITY
daily growth rate ( DGR ) | QUALITY
dam reservoirs | RESOURCE
damage | PROCESS
damage | QUALITY
damages | PROCESS
damping force | PROCESS
dams | LOCATION
dams | RESOURCE
damselfish | ACTOR
daphnid | RESOURCE
daphnids | RESOURCE
data | RESOURCE
database | RESOURCE
de - naturalization | PROCESS
death toll | QUALITY
debris | RESOURCE
decision - making body | ACTOR
decision making | PROCESS
declines | PROCESS
decomposition - enhancing studies | RESOURCE
decomposition | PROCESS
deep geosphere | RESOURCE
deeper groundwater system | RESOURCE
deeper groundwater | RESOURCE
deeper locations | LOCATION
deeper saline groundwater | RESOURCE
deformation | PROCESS
degradation | PROCESS
deicing salt | RESOURCE
delta drainage basin area | LOCATION
delta | RESOURCE
demand | PROCESS
demersal fishes | ACTOR
demersal habitats | RESOURCE
demersal | RESOURCE
denitrification ( DNF ) | PROCESS
density | QUALITY
depleted radiocarbon | RESOURCE
depleted | QUALITY
depositional environment | RESOURCE
depositional pattern | QUALITY
deposits | RESOURCE
depression | RESOURCE
depth range | QUALITY
depth | QUALITY
desertic | QUALITY
designs | QUALITY
detection distance | QUALITY
detection | PROCESS
deterioration | PROCESS
devastation | PROCESS
developed and developing country | ACTOR
developing countries | ACTOR
development activities | PROCESS
development patterns | QUALITY
development | PROCESS
developmental planning | PROCESS
diameter | QUALITY
diatom assemblage | RESOURCE
diatom assemblages | RESOURCE
diatom species | RESOURCE
diatoms | ACTOR
diatoms | RESOURCE
diet | QUALITY
dietary exposure | PROCESS
dietary | QUALITY
diets | QUALITY
dinoflagellates | ACTOR
dioxin abatement measures | RESOURCE
dioxin levels | QUALITY
dioxin | RESOURCE
dioxins | RESOURCE
disaster management | PROCESS
disaster mitigation | PROCESS
disaster risk reduction institutions | ACTOR
disasters | PROCESS
discard rates | QUALITY
discarding | PROCESS
discards | PROCESS
discharge | PROCESS
diseases | PROCESS
dispersal | PROCESS
dispersion | PROCESS
displacement | PROCESS
disposal | PROCESS
disposal | QUALITY
disservices | RESOURCE
dissolved SiO2 | RESOURCE
dissolved inorganic carbon ( DIC ) | RESOURCE
dissolved inorganic nitrogen | RESOURCE
dissolved inorganic phosphorus | RESOURCE
distance | QUALITY
distribution | PROCESS
distribution | QUALITY
distributions | QUALITY
disturbance | PROCESS
disturbances | PROCESS
ditch | RESOURCE
diversion | PROCESS
diversity | QUALITY
dolphin watching tourism | PROCESS
dominant species | QUALITY
downstream waters | LOCATION
drainage area | LOCATION
drainage ditch | RESOURCE
drainage ditches | RESOURCE
drainage network | RESOURCE
drainage | PROCESS
dredged areas | LOCATION
dredged region | LOCATION
dredging shoals | PROCESS
dredging | PROCESS
drinking water | RESOURCE
drivers of risk | QUALITY
dry density | QUALITY
dry weight | QUALITY
duct | PROCESS
dune dike | RESOURCE
dune grasslands | RESOURCE
dune | RESOURCE
dunes | RESOURCE
dusky grouper | ACTOR
dynamic photoinhibition | PROCESS
early life | QUALITY
early warning model | RESOURCE
early warning system | RESOURCE
earthquake | PROCESS
earthquakes | PROCESS
eastern and western parts of Zhongshan City | LOCATION
ebb | PROCESS
echinoid | RESOURCE
echinolampadoids | RESOURCE
eco - friendly | QUALITY
eco - sensitive areas | RESOURCE
eco - tourism | PROCESS
eco - toxicological risks | QUALITY
ecological capacity | QUALITY
ecological environment | RESOURCE
ecological environments | RESOURCE
ecological function | QUALITY
ecological functional classification | QUALITY
ecological goods and services | RESOURCE
ecological impacts | PROCESS
ecological impacts | QUALITY
ecological monitoring | PROCESS
ecological principles | QUALITY
ecological processes | PROCESS
ecological quality | QUALITY
ecological restoration | PROCESS
ecological values | QUALITY
ecology | RESOURCE
economic - activity | PROCESS
economic activity | PROCESS
economic benefits | QUALITY
economic development level | QUALITY
economic development | PROCESS
economic | PROCESS
economic | QUALITY
economies | QUALITY
economy | QUALITY
ecosystem balance | RESOURCE
ecosystem functioning | PROCESS
ecosystem problems | PROCESS
ecosystem processes | PROCESS
ecosystem restoration | PROCESS
ecosystem services | RESOURCE
ecosystem | RESOURCE
ecosystems | RESOURCE
edaphic conditions | QUALITY
effective life | QUALITY
efficiency | QUALITY
effluent emissions | PROCESS
eggs | RESOURCE
electric steam power plants | RESOURCE
electrical conductivity ( EC ) | QUALITY
electrical conductivity | QUALITY
electronic equipment | RESOURCE
elevation | PROCESS
elevation | QUALITY
elongated loop | QUALITY
embayment | RESOURCE
embryo dune | RESOURCE
emergent economies | QUALITY
employment | PROCESS
employments offers | RESOURCE
encounter rates | QUALITY
encounters | PROCESS
encroachment | PROCESS
encrustation | PROCESS
endangered species | RESOURCE
endangered | QUALITY
endemic | QUALITY
energy cycles | PROCESS
energy production | PROCESS
energy | QUALITY
engineers | ACTOR
enhanced UV - B radiation | PROCESS
enriched radiocarbon | RESOURCE
environment - dependent economy | QUALITY
environment | RESOURCE
environmental UV variability | QUALITY
environmental change | PROCESS
environmental conditions | QUALITY
environmental contamination | PROCESS
environmental degradation | PROCESS
environmental factor | QUALITY
environmental factors | QUALITY
environmental impact | QUALITY
environmental improvements | PROCESS
environmental monitoring | PROCESS
environmental policies | RESOURCE
environmental pollution | PROCESS
environmental quality | QUALITY
environmental regulations | PROCESS
environmental variables | QUALITY
environmental variables | RESOURCE
environmental variation | PROCESS
environmentally - friendly | QUALITY
environments | RESOURCE
ephemerids | RESOURCE
epichnia | RESOURCE
epichnial traces | RESOURCE
eroding | PROCESS
erosion | PROCESS
eruptions | PROCESS
essential services | PROCESS
estuaries | RESOURCE
estuarine / tidal flat | RESOURCE
estuary | RESOURCE
ethylene | RESOURCE
eutrophic shallow lake | LOCATION
eutrophic | QUALITY
evacuation priority | QUALITY
evacuation | PROCESS
evaporation duct | PROCESS
evaporation | PROCESS
evolution | QUALITY
excess feed | RESOURCE
exploitation | PROCESS
export | QUALITY
exposed areas | LOCATION
exposed surface | LOCATION
exposure | PROCESS
extension | PROCESS
extensive farming | PROCESS
extensive production systems | RESOURCE
external valve | RESOURCE
extirpation | PROCESS
extractive culture types | QUALITY
extreme storm events | PROCESS
extreme weather events | PROCESS
extreme winds | PROCESS
factors nature | QUALITY
factors | QUALITY
faecal sample | RESOURCE
faecal samples | RESOURCE
falling sea levels | PROCESS
farmers | ACTOR
farming | PROCESS
fate | QUALITY
fatty acid ( FA ) composition | QUALITY
fault zone | LOCATION
fault | RESOURCE
faulting | PROCESS
fauna | RESOURCE
fed culture types | QUALITY
federal jurisdiction | ACTOR
feed | PROCESS
feeding patterns | QUALITY
feedstock | RESOURCE
female | ACTOR
females | ACTOR
fertilizer application | PROCESS
fetch - limited | QUALITY
field | RESOURCE
filter - feeding shellfish culture | PROCESS
filtering | PROCESS
filtration | PROCESS
fine - grained sediments | RESOURCE
fine material | RESOURCE
fine particles | RESOURCE
fish cage culture | PROCESS
fish communities | RESOURCE
fish fauna | ACTOR
fish kills | PROCESS
fish productivity | QUALITY
fish reductions | PROCESS
fish removal | PROCESS
fish removals | PROCESS
fish species | ACTOR
fish | ACTOR
fish | RESOURCE
fisheries | PROCESS
fishery | PROCESS
fishes | ACTOR
fishing effort | PROCESS
fishing grounds | RESOURCE
fishing | PROCESS
fixed dune | RESOURCE
flamingoes | RESOURCE
flash floods | PROCESS
flathead mullet | ACTOR
floating harbours | RESOURCE
floating structures | RESOURCE
floc | RESOURCE
flocculate | PROCESS
flocs | RESOURCE
flood water | RESOURCE
flood | PROCESS
flooded areas | LOCATION
flooded habitats | RESOURCE
flooding | PROCESS
floodplain | RESOURCE
floods | PROCESS
flora | RESOURCE
flows | PROCESS
fluxes | PROCESS
focusing | PROCESS
food abundance | QUALITY
food accessibility | QUALITY
food environment | RESOURCE
food import | PROCESS
food industry | ACTOR
food production systems | RESOURCE
food requirements | QUALITY
food security | QUALITY
food source | RESOURCE
food web | QUALITY
food webs | QUALITY
food | RESOURCE
foodweb | QUALITY
forage | PROCESS
foraged | PROCESS
forager | ACTOR
forbs | RESOURCE
forced migration | PROCESS
forcing mechanisms | PROCESS
fore dune | RESOURCE
forearc zone | LOCATION
forecast scenarios | RESOURCE
forecasting | PROCESS
forest | RESOURCE
formation | PROCESS
fossil carbon | RESOURCE
fragmentation | PROCESS
framework | RESOURCE
free choice | QUALITY
freedom of choice | QUALITY
frequency | QUALITY
freshwater fish | ACTOR
freshwater influx | PROCESS
freshwater management | PROCESS
freshwater mussel | ACTOR
freshwater populations | ACTOR
freshwater reservoir | RESOURCE
freshwater resources | RESOURCE
freshwater | LOCATION
freshwater | RESOURCE
friction force | PROCESS
friction pendulum bearing | RESOURCE
friction | PROCESS
frontal zones | LOCATION
gabbroids | RESOURCE
gabbros | RESOURCE
garra | ACTOR
gas | RESOURCE
gastrointestinal ( GI ) tracts | RESOURCE
gelatinous plankton | ACTOR
gelatinous zooplankton | ACTOR
general circulation | PROCESS
genus | ACTOR
genus | QUALITY
geo - hazard recognition | PROCESS
geochemical conditions | QUALITY
geochemical patterns | QUALITY
geochemistry | QUALITY
geochronology | QUALITY
geodynamics | QUALITY
geographical factors | QUALITY
geographical location | QUALITY
geography | QUALITY
geohazard chain | PROCESS
geohazards | PROCESS
geological stratifications | RESOURCE
geomorphology | QUALITY
geosphere | RESOURCE
geotube | RESOURCE
gibberellins | RESOURCE
glaciotectonic deformations | PROCESS
global average | LOCATION
global population | ACTOR
global regions | LOCATION
global warming | PROCESS
good governance tool | RESOURCE
goods and services | RESOURCE
grain size | QUALITY
grain texture | QUALITY
granite | RESOURCE
granites | RESOURCE
granitic boulders | RESOURCE
granitoids | RESOURCE
grass carp | ACTOR
gravity flows | PROCESS
grazing pressure | PROCESS
grazing | PROCESS
green algae | RESOURCE
greenbelt | RESOURCE
greenhouse | RESOURCE
greening project | RESOURCE
groins | LOCATION
gross primary production ( GPP ) | PROCESS
ground foraging birds | ACTOR
groundwater - surface water ( GW - SW ) interaction | PROCESS
groundwater discharge | PROCESS
groundwater flux | PROCESS
groundwater management | PROCESS
groundwater quality | QUALITY
groundwater resources | RESOURCE
groundwater salinity | QUALITY
groundwater sources | RESOURCE
groundwater table | RESOURCE
groundwater | RESOURCE
group | ACTOR
groups | ACTOR
growing environment | RESOURCE
growing environments | RESOURCE
growth parameters | QUALITY
growth rates | QUALITY
growth | PROCESS
growth | QUALITY
gulf coast | LOCATION
gulf | LOCATION
gullies | RESOURCE
gulls | ACTOR
habitable | QUALITY
habitat - use | PROCESS
habitat preferences | QUALITY
habitat suitability | QUALITY
habitat | RESOURCE
habitats | RESOURCE
halophytic | QUALITY
harbor | RESOURCE
hard head catfish | RESOURCE
hard substrata | RESOURCE
harvest | PROCESS
hazardous substances | RESOURCE
hazards | PROCESS
health risk | QUALITY
health | QUALITY
heat transport | PROCESS
heavy metal | RESOURCE
heavy metals | RESOURCE
heavy pumping | PROCESS
herbicide | RESOURCE
herring | RESOURCE
heterotrophic bacteria | RESOURCE
heterotrophic bacterioplankton | RESOURCE
heterotrophic dinoflagellates | ACTOR
heterotrophs | ACTOR
high - land | RESOURCE
high - risk areas | LOCATION
high - valued species | RESOURCE
high trophic - level predators | ACTOR
high trophic level | QUALITY
higher - order predator | ACTOR
highly concentrated salty areas | LOCATION
hinterland | LOCATION
histochemical localization | QUALITY
horse mackerel | RESOURCE
host populations | RESOURCE
host | RESOURCE
hot spots | QUALITY
hotspots | QUALITY
household | QUALITY
households | ACTOR
human - altered environments | RESOURCE
human action | PROCESS
human activities | PROCESS
human disturbance | PROCESS
human disturbances | PROCESS
human drivers | QUALITY
human habitation | RESOURCE
human health risks | QUALITY
human health | QUALITY
human impacts | QUALITY
human influence | PROCESS
human intervention | PROCESS
human life losses | QUALITY
human life | PROCESS
human population | ACTOR
human pressures | PROCESS
human use | PROCESS
human well - being | QUALITY
human | ACTOR
humans | ACTOR
humus content | QUALITY
hurricane | PROCESS
hurricanes | PROCESS
hybrid isolation | PROCESS
hydraulic conductivity | QUALITY
hydraulic gradient | QUALITY
hydraulic gradients | QUALITY
hydraulic management | PROCESS
hydrocarbons | RESOURCE
hydrocolloids | RESOURCE
hydrodynamic characteristics | QUALITY
hydrodynamic conditions | QUALITY
hydrodynamic forcing | PROCESS
hydrodynamics | PROCESS
hydroelasticity | QUALITY
hydrogen - oxygen isotope ratio | QUALITY
hydrologic characteristics | QUALITY
hydrological factors | QUALITY
hydrological functioning | QUALITY
hydrological parameters | QUALITY
hydroponics | PROCESS
ice - sheet domes | RESOURCE
ice caps | RESOURCE
ice dome | RESOURCE
ice sheet | RESOURCE
ice | RESOURCE
ichnocoenoses | RESOURCE
ichthyoplankton | ACTOR
igneous event | PROCESS
impacts | PROCESS
impacts | QUALITY
import - export | PROCESS
impregnated female shrimp | ACTOR
inception | PROCESS
incidental catch | PROCESS
income | RESOURCE
increasing seas | PROCESS
indicator species | ACTOR
indigenous species | ACTOR
individual size | QUALITY
individual | QUALITY
individuals | ACTOR
individuals | RESOURCE
industrial activities | PROCESS
industrial effluents | RESOURCE
industrial reconversion | PROCESS
industrialisation | PROCESS
industrialization | PROCESS
industries | ACTOR
infection | PROCESS
infilling | PROCESS
infiltration / exfiltration | PROCESS
infiltration | PROCESS
inflow discharge | PROCESS
influence area | LOCATION
infra - littoral | LOCATION
infrastructure | RESOURCE
infrastructures | RESOURCE
ingestion | PROCESS
inhomogeneity | QUALITY
inland areas | LOCATION
inlet river | RESOURCE
inlet rivers | RESOURCE
inlet | RESOURCE
inlets | RESOURCE
inner sublittoral environments | RESOURCE
inorganic pollutants | RESOURCE
inorganic | QUALITY
inputs | RESOURCE
insecticides | RESOURCE
inshore | LOCATION
instantaneous deformation | PROCESS
integrated farming systems | RESOURCE
integrated multi - trophic aquaculture ( IMTA ) | PROCESS
integrated polyculture systems | RESOURCE
integrated production | PROCESS
integrity | QUALITY
intensive farming | PROCESS
intentional introductions | PROCESS
inter - habitat connectivity | QUALITY
internal flow kinematics | PROCESS
international level | QUALITY
interspecific differences | QUALITY
intertidal benthic communities | RESOURCE
intertidal plant formations | RESOURCE
intertidal species | RESOURCE
intertidal zone | LOCATION
intestinal contents | RESOURCE
intra - arc zone | LOCATION
intraspecific variations | QUALITY
introduction | PROCESS
intrusive rocks | RESOURCE
inundation | PROCESS
invaded lakes | LOCATION
invaded transects | LOCATION
invaded | QUALITY
invasion | PROCESS
invasive elodeids | ACTOR
invasive species | ACTOR
invertebrate | RESOURCE
invertebrates | RESOURCE
irradiance | PROCESS
irregular echinoids | QUALITY
irrigation waters | RESOURCE
irrigation | PROCESS
island | LOCATION
islands | LOCATION
isolation | PROCESS
isostatic rebound cycles | PROCESS
isotope | RESOURCE
jellyfish | ACTOR
jellyfish | RESOURCE
juvenile | ACTOR
juveniles | ACTOR
karstic coastal aquifers | RESOURCE
karstic terrains | RESOURCE
kinematics | QUALITY
kinetics | QUALITY
knowledge | QUALITY
knowledge | RESOURCE
labor | PROCESS
lagoon | RESOURCE
lake ecosystems | RESOURCE
lake restoration | PROCESS
lake | RESOURCE
lakes | RESOURCE
land - ocean interaction | PROCESS
land - use changes | QUALITY
land - use | PROCESS
land conversion | PROCESS
land cover | QUALITY
land degradation | PROCESS
land resource | RESOURCE
land subsidence | PROCESS
land use change | PROCESS
land use cover change ( LUCC ) | PROCESS
land use efficiency | QUALITY
land use planning | PROCESS
land use | PROCESS
land | RESOURCE
landfill leachate | RESOURCE
landscape connectivity | QUALITY
landscape management | PROCESS
landscape quality | QUALITY
landscapes | RESOURCE
landslide | PROCESS
larvae | ACTOR
larval stages | QUALITY
larval | ACTOR
lead | RESOURCE
leaves | RESOURCE
legacy | QUALITY
lentic systems | RESOURCE
levels | QUALITY
life cycles | QUALITY
life quality | QUALITY
life | PROCESS
light availability | QUALITY
light | RESOURCE
lipid regulators | RESOURCE
lithology | QUALITY
litter | RESOURCE
littoral biotopes | RESOURCE
littoral drift sand | RESOURCE
littoral drift | PROCESS
littoral fringe | LOCATION
littoral stations | LOCATION
littoral zone | LOCATION
littoral | LOCATION
littoral | RESOURCE
local benthic | RESOURCE
local conditions | QUALITY
local species | ACTOR
local subsidence drivers | ACTOR
lockdowns | PROCESS
loess | RESOURCE
logistic developments | PROCESS
long - chain unsaturated fatty acids | RESOURCE
long - term effects | QUALITY
longshore current | PROCESS
longshore currents | PROCESS
longshore drift of sediments | PROCESS
longshore | LOCATION
loriciferans | ACTOR
loss of life | QUALITY
loss | PROCESS
loss | QUALITY
losses | QUALITY
low - lying land | RESOURCE
low - lying | QUALITY
low salinity zone | LOCATION
low tides | PROCESS
lower eulittoral | LOCATION
lower upper eulittoral | LOCATION
lowering | PROCESS
mackerel | RESOURCE
macro - tidal flat ichnocoenoses | RESOURCE
macro force | PROCESS
macroalgae | RESOURCE
macroalgal ecology | RESOURCE
macroalgal species | RESOURCE
macrobenthos | RESOURCE
macroinvertebrates | RESOURCE
macrophyte | ACTOR
macroplastics | RESOURCE
magma | RESOURCE
magmatic belt | RESOURCE
magmatism | PROCESS
magnitude | QUALITY
maintenance program | RESOURCE
maintenance | PROCESS
male | ACTOR
males | ACTOR
man | ACTOR
management measures | RESOURCE
management strategy | RESOURCE
management tools | RESOURCE
management | PROCESS
managing | PROCESS
mangrove area | RESOURCE
mangrove coastlines | RESOURCE
mangrove ecosystem | RESOURCE
mangrove ecosystems | RESOURCE
mangrove forest | RESOURCE
mangrove forests | RESOURCE
mangrove plants | RESOURCE
mangrove rehabilitation | PROCESS
mangrove restoration | PROCESS
mangrove species | RESOURCE
mangrove trees | RESOURCE
mangrove vegetation | RESOURCE
mangrove wetlands | RESOURCE
mangrove | RESOURCE
mangroves | RESOURCE
mapping | PROCESS
mariculture industry | ACTOR
mariculture types | QUALITY
mariculture | PROCESS
marina design | QUALITY
marine coastal areas | LOCATION
marine diatoms | ACTOR
marine ecosystem | RESOURCE
marine ecosystems | RESOURCE
marine environment | RESOURCE
marine environmental quality | QUALITY
marine environments | RESOURCE
marine erosion | PROCESS
marine fish | ACTOR
marine floral | RESOURCE
marine food webs | QUALITY
marine life | RESOURCE
marine litter dispersion | PROCESS
marine litter | RESOURCE
marine mammals | ACTOR
marine organisms | RESOURCE
marine ports | RESOURCE
marine protected area | LOCATION
marine sand mining | PROCESS
marine sediments | RESOURCE
marine species | RESOURCE
marine | QUALITY
marine | RESOURCE
market | ACTOR
market | QUALITY
marsh | RESOURCE
mass deposits | RESOURCE
material | RESOURCE
materials | RESOURCE
mayflies | ACTOR
measurement | PROCESS
measures | PROCESS
measures | RESOURCE
mechanical equipment | RESOURCE
mechanical stability | QUALITY
mercury | RESOURCE
meso - to macro - tidal regime | QUALITY
mesotrophic | QUALITY
metabolic activity | QUALITY
metabolism | QUALITY
metals bioaccumulation | QUALITY
meteorological station | RESOURCE
meteorological variables | QUALITY
method | RESOURCE
metrics | QUALITY
micro - fibres | RESOURCE
micro - nano - plankton | ACTOR
micro - organisms | ACTOR
micro - scale processes | PROCESS
micro - sized plastics ( MPs ) | RESOURCE
microalgae community | RESOURCE
microbial pollution indicators | RESOURCE
microbial | ACTOR
microenvironments | RESOURCE
microorganisms | RESOURCE
microphytobenthos | RESOURCE
microplastic pollution | PROCESS
microplastics | RESOURCE
migration | PROCESS
migrations | PROCESS
mineralization | PROCESS
mineralized waters | RESOURCE
mining sites | RESOURCE
mining | PROCESS
mitigation | PROCESS
mix of HEPTA and OCTA ( MIX ) | RESOURCE
mixing energy | PROCESS
mixing | PROCESS
mixture of OCTA and HEPTA | RESOURCE
mobile dune | RESOURCE
mobility | QUALITY
modelling | PROCESS
moisture content | RESOURCE
molar concentration ratio of N and P ( N : P ) | QUALITY
molluscs | RESOURCE
monetary assessment | QUALITY
